## box
1	top
2	[0.0,4.64]	4.64
3	[0.0,7.68]	7.68
4	[0.0,2.64]	2.64
5	[0,2.68]	2.68
10	[0,1.8]		1.8
13	[0,1.66]	1.66
20	[0,1.27]	1.27
25	[0,1.13]	1.13
30	[0,1.03]	1.03
50	[0.18,0.84]	0.66
100	[0.39,0.70]	0.31
200	[0.47,0.66]	0.19
300	[0.49,0.65]	0.16
500	[0.51,0.65]	0.14

## t1+
1	[0.0,4.72]	4.72
2	[0.0,1.93]	1.93
3	[0.0,1.53]	1.53
4	[0.21,0.97]	0.76
5	[0.0,1.04]	1.04
10	[0.47,0.68]	0.21
13	[0.50,0.65]	0.15
20	[0.52,0.64]	0.12
25	[0.53,0.64]	0.11
30	[0.53,0.63]	0.1
50	[0.53,0.63]	0.1
100	[0.54,0.63]	0.09
200	[0.54,0.63]	0.09
300	[0.54,0.63]	0.09
400	[0.54,0.63]	0.09
500	[0.54,0.63]	0.09

## oct
1	top
2	[0.0,4.02]	4.02
3	[0.0,6.94]	6.94
4	[0.0,1.97]	1.97
5	[0,1.92]	1.92
10	[0,1.09]	1.09
13	[0.0,0.97]	0.97
20	[0.26,0.84]	0.62
25	[0.33,0.79]	0.46
30	[0.38,0.76]	0.38
50	[0.45,0.71]	0.26
100	[0.49,0.67]	0.18
200	[0.52,0.65]	0.13
300	[0.52,0.65]	0.13
400	[0.53,0.64]	0.11
500	[0.53,0.64]	0.11

## polka/ppl
1	top
2	[0.0,8.33]	8.33
3	[0.0,9.82]	9.82
4	[0.0,5.14]	5.14
5	[0.0,2.72]	2.72
10	[0.0,1.17]	1.17
13	[0.0,1.08]	1.08
20	[0.16,0.98]	0.82
25	[0.20,0.95]	0.75
30	[0.23,0.93]	0.7
50	[0.27,0.89]	0.62
100	[0.30,0.86]	0.56
200	[0.31,0.85]	0.54
300	[0.32,0.84]	0.52
500	[0.32,0.84]	0.52

